g,r,i,z,y_true,y_argus,y_attnnet
19.36455535888672,19.025928497314453,18.76508331298828,18.59844398498535,0.0,0.9999978542327881,0.9999587535858154
20.24049949645996,19.785165786743164,19.803482055664062,19.40583038330078,0.0,0.9999972581863403,0.9999642372131348
21.24462890625,20.43852996826172,19.815099716186523,19.498897552490234,1.0,0.9999980926513672,0.9999817609786987
18.402292251586914,17.899639129638672,17.676942825317383,17.620466232299805,0.0,0.9999980926513672,0.9999808073043823
18.810890197753906,18.6837158203125,18.718669891357422,18.815059661865234,0.0,0.9999980926513672,0.9999805688858032
18.61836814880371,18.10011100769043,17.788089752197266,17.718168258666992,1.0,0.9999980926513672,0.9999872446060181
19.354206085205078,18.665603637695312,18.454364776611328,18.07577896118164,0.0,0.9999977350234985,0.9999665021896362
17.826290130615234,17.53501319885254,17.434749603271484,17.404760360717773,0.0,0.9999977350234985,0.9997133612632751
18.63593864440918,18.184677124023438,17.99195098876953,17.920818328857422,0.0,0.9999974966049194,0.9999277591705322
20.747629165649414,19.67051887512207,19.20879554748535,18.79576873779297,0.0,0.9629085659980774,0.12585192918777466
19.813446044921875,18.53857421875,18.05483627319336,17.765064239501953,1.0,0.9999939203262329,0.9997602105140686
19.32529067993164,19.042205810546875,18.8093318939209,18.788114547729492,0.0,0.9988227486610413,0.9999500513076782
21.24462890625,20.43852996826172,19.815099716186523,19.498897552490234,1.0,0.9999977350234985,0.9999698400497437
18.953163146972656,18.930538177490234,18.646509170532227,18.5546817779541,0.0,0.9999980926513672,0.9999819993972778
17.93695831298828,17.725906372070312,17.746444702148438,17.72671127319336,0.0,0.9999979734420776,0.9999790191650391
19.928335189819336,19.972171783447266,20.06234359741211,20.107627868652344,0.0,0.9999980926513672,0.9999812841415405
18.961620330810547,18.775968551635742,18.703468322753906,18.597131729125977,0.0,0.9999979734420776,0.999963641166687
19.838184356689453,18.85152244567871,18.517520904541016,18.086435317993164,0.0,0.9999979734420776,0.9999402761459351
18.834545135498047,18.81155776977539,19.18951416015625,18.917465209960938,1.0,0.9999980926513672,0.9999856948852539
19.29127311706543,18.98769760131836,18.74437713623047,18.608842849731445,0.0,0.9999979734420776,0.9999803304672241
20.059223175048828,19.695812225341797,19.576274871826172,19.47921371459961,0.0,0.9999979734420776,0.99997878074646
20.2635555267334,19.41303253173828,19.14710807800293,18.870574951171875,0.0,0.9999977350234985,0.9999595880508423
19.775325775146484,19.56759262084961,19.451826095581055,19.32784652709961,0.0,0.9999979734420776,0.9999700784683228
17.551301956176758,17.339805603027344,17.27893829345703,17.321596145629883,0.0,0.9999979734420776,0.9999630451202393
22.10248565673828,20.794870376586914,20.019649505615234,19.594297409057617,0.0,0.9999979734420776,0.9999816417694092
19.79976463317871,19.047636032104492,18.61294174194336,18.239665985107422,0.0,0.9999979734420776,0.9999769926071167
18.494155883789062,18.147850036621094,17.959510803222656,17.942869186401367,0.0,0.9999979734420776,0.99997878074646
18.834545135498047,18.81155776977539,19.18951416015625,18.917465209960938,1.0,0.9999980926513672,0.9999867677688599
19.46787452697754,19.117446899414062,19.07581901550293,18.87900733947754,0.0,0.9999979734420776,0.9999841451644897
18.69150733947754,18.38446044921875,18.317108154296875,18.295879364013672,0.0,0.9999980926513672,0.9999772310256958
19.46259307861328,18.780908584594727,18.488025665283203,18.112964630126953,0.0,0.9999942779541016,0.9999619722366333
19.761760711669922,19.404699325561523,19.285537719726562,19.224943161010742,0.0,0.9999701976776123,0.9994619488716125
20.25960922241211,19.77541732788086,19.681365966796875,19.279876708984375,0.0,0.9999979734420776,0.9999817609786987
18.263689041137695,18.07599449157715,17.733993530273438,17.79104995727539,0.0,0.9999980926513672,0.999985933303833
19.42009735107422,18.765644073486328,18.581104278564453,18.231353759765625,1.0,0.9999980926513672,0.9999847412109375
18.73027992248535,18.524667739868164,18.454055786132812,18.391477584838867,0.0,0.9999973773956299,0.9999665021896362
17.604602813720703,17.239974975585938,17.09758758544922,17.04328155517578,0.0,0.999997615814209,0.999954104423523
19.95534896850586,19.346302032470703,19.306467056274414,18.769386291503906,1.0,0.9999979734420776,0.9999772310256958
