g,r,i,z,y_true,y_argus,y_attnnet
19.11922651251181,18.144070427834308,17.749457705725476,17.5488531398606,0,0.9999964237213135,0.9999716281890869
20.776944810350496,19.413746336526323,18.961081202679544,18.62204462335482,0,0.10828682780265808,0.011188667267560959
21.732599280916507,20.017224483868077,23.58164068411484,21.60037020293134,0,0.004728999920189381,0.9996002316474915
21.81279783422594,20.26997394030608,18.89519086708229,18.283549835171275,0,0.9999885559082031,0.9997448325157166
21.54452775346203,20.152287318327417,18.532682410825593,17.829264461890382,0,0.9999912977218628,0.994006872177124
20.86621275693201,19.286683062481153,17.836591990500324,17.23752267543656,0,4.272365913493559e-06,5.1213526603532955e-05
19.188802420881817,18.760648552927425,18.47587612203352,18.506999637312948,0,0.9999979734420776,0.9999839067459106
20.41891960076818,18.995483853394347,17.873418030761147,17.392244452085066,0,0.9999561309814453,0.9999005794525146
20.341997979912918,18.960447142912734,18.333237981984354,18.016963371444696,0,0.9999842643737793,0.9949771761894226
19.821679181782365,18.536492274970477,18.114262078357218,17.819092532332405,0,0.9585620164871216,0.03633372485637665
20.70850214106707,19.246452313199,18.275668600190844,17.86230750362641,0,0.9999455213546753,0.9999080896377563
18.347722596079013,17.698426904827944,17.40421529107875,17.20516502449026,0,0.999977707862854,0.9254397749900818
21.869115386182617,20.213034727956764,18.67131193818718,17.981130192227962,0,5.913519999012351e-06,5.687508746632375e-05
18.24641061125124,17.756637391729495,17.41428988442691,17.352794725849193,0,0.9999980926513672,0.9999849796295166
20.657762209795973,19.07534475390882,17.682313789548296,17.084788439319627,0,0.9999728202819824,0.9997373223304749
20.072456485893305,20.549722216439186,20.695450123784088,18.606166088950758,0,3.6998537780164042e-06,0.0002580659929662943
19.83231822624159,18.352726855929475,17.357201386248892,16.921207457203934,0,0.9925678968429565,0.9733752012252808
19.26274068106237,18.84222028767467,18.558843935816924,18.56260659345184,0,0.9999980926513672,0.9999874830245972
23.914332654412227,22.66239822640597,19.674923360918477,18.365440524558753,0,4.9206970288651064e-05,0.9846788644790649
21.73148367281269,20.26946617722145,18.953725736240017,18.368044240030407,0,3.9022623241180554e-05,0.014212280511856079
17.019300805025136,16.70452721002622,16.350587892376154,16.414165174312167,0,0.9999980926513672,0.9999886751174927
21.297494868435138,19.79683255342889,19.389167889152993,19.120471406370623,0,0.9999676942825317,0.9994390606880188
22.939167515115088,19.59011978768559,18.122249458372266,17.474168270407397,0,0.06652068346738815,0.8678167462348938
16.44068731332618,15.510511370060643,15.094173013828309,14.73644394282234,0,0.9824379086494446,0.18311436474323273
