g,r,i,z,y_true,y_argus,y_attnnet
20.184436798095703,19.846155166625977,19.559654235839844,19.385395050048828,1.0,0.9999963045120239,0.9999843835830688
20.63606834411621,20.390247344970703,20.140491485595703,20.065223693847656,0.0,0.9999889135360718,0.9999730587005615
23.795637130737305,22.20386505126953,21.088260650634766,20.637550354003906,0.0,0.00017758470494300127,3.203587039024569e-05
22.86638069152832,21.4927978515625,20.531269073486328,20.022563934326172,0.0,3.986521187471226e-05,3.10011746478267e-05
17.646190643310547,16.520187377929688,16.34323501586914,16.385040283203125,1.0,0.9999735355377197,0.9999841451644897
19.819000244140625,18.538442611694336,17.897659301757812,17.67768096923828,1.0,0.9999845027923584,0.9999786615371704
22.728809356689453,20.832782745361328,19.84986114501953,19.417800903320312,0.0,7.803650078130886e-05,3.2205600291490555e-05
23.358278274536133,21.735036849975586,20.604839324951172,20.165590286254883,0.0,0.00014820204523857683,3.3674034057185054e-05
21.006967544555664,19.3662166595459,18.808456420898438,18.501543045043945,0.0,0.00047678578994236887,3.745106005226262e-05
22.28926658630371,20.51287841796875,19.76817512512207,19.389240264892578,0.0,0.00017896565259434283,3.279083102825098e-05
18.655498504638672,17.540176391601562,17.347190856933594,17.19233512878418,1.0,0.9999933242797852,0.9999867677688599
16.46143341064453,15.785740852355957,15.396223068237305,15.482494354248047,1.0,0.9999966621398926,0.9999885559082031
22.400318145751953,21.570323944091797,20.842283248901367,20.552616119384766,0.0,3.529945024638437e-05,3.721359826158732e-05
21.57653045654297,20.787330627441406,20.18775749206543,19.924169540405273,0.0,4.4227934267837554e-05,4.642327985493466e-05
21.878393173217773,20.172136306762695,19.475784301757812,19.084035873413086,0.0,0.0006025269976817071,3.6267923860577866e-05
17.529956817626953,16.480453491210938,16.049697875976562,15.696403503417969,1.0,0.999971866607666,0.9999755620956421
20.14602279663086,19.711658477783203,19.349109649658203,19.155902862548828,0.0,0.9999476671218872,0.9999653100967407
18.77025604248047,18.18987274169922,17.795581817626953,17.684608459472656,1.0,0.9999958276748657,0.9999780654907227
20.22085189819336,19.917205810546875,19.64014434814453,19.462203979492188,0.0,0.9999699592590332,0.9999619722366333
19.977825164794922,19.718292236328125,19.47595977783203,19.377944946289062,0.0,0.005424282979220152,6.600920460186899e-05
19.951732635498047,19.60470199584961,19.248886108398438,19.118274688720703,1.0,0.9999915361404419,0.9999858140945435
21.54465103149414,20.54560661315918,19.799806594848633,19.453474044799805,0.0,0.009198151528835297,0.00029776617884635925
22.773845672607422,20.886810302734375,20.043628692626953,19.61648941040039,0.0,0.0003890992375090718,3.491234383545816e-05
21.184101104736328,20.322643280029297,19.559551239013672,19.23196792602539,0.0,0.004733894485980272,4.574274134938605e-05
22.075721740722656,21.207130432128906,20.52842903137207,20.21036148071289,0.0,2.2289907064987347e-05,3.264424958615564e-05
20.79468536376953,20.14832305908203,19.749563217163086,19.62236785888672,1.0,0.9999955892562866,0.9999816417694092
20.413713455200195,20.164567947387695,19.901174545288086,19.762481689453125,0.0,0.999995231628418,0.9999676942825317
19.839635848999023,19.112621307373047,18.687705993652344,18.318885803222656,0.0,0.999868631362915,0.8294295072555542
22.96573829650879,20.95943832397461,20.077621459960938,19.609560012817383,0.0,0.00012350239558145404,3.1861989555181935e-05
20.974796295166016,20.62143325805664,20.269132614135742,20.07210350036621,1.0,0.9999852180480957,0.9999797344207764
23.653907775878906,22.52056884765625,21.353179931640625,20.63768768310547,0.0,0.0002832855680026114,3.395282692508772e-05
20.26662254333496,20.007043838500977,19.80666732788086,19.608684539794922,1.0,0.9999969005584717,0.9999867677688599
20.543785095214844,20.09149169921875,19.57470703125,19.30901336669922,0.0,0.02550535462796688,0.003915610257536173
45.0,28.557613372802734,45.0,45.0,0.0,0.013605129905045033,0.0001532828318886459
20.54298973083496,20.282163619995117,19.911846160888672,19.84638214111328,1.0,0.9999935626983643,0.9999868869781494
19.818256378173828,19.464086532592773,19.13800048828125,19.029659271240234,1.0,0.9999951124191284,0.9999866485595703
21.061389923095703,19.50259780883789,18.83095359802246,18.52123260498047,1.0,0.9971498847007751,0.9999791383743286
21.572158813476562,21.246973037719727,20.863544464111328,20.715274810791016,0.0,0.999976396560669,0.9999706745147705
22.17200469970703,21.256900787353516,20.49201202392578,20.187021255493164,0.0,5.904880163143389e-05,3.0747200071346015e-05
17.084392547607422,16.245319366455078,15.938633918762207,15.77393627166748,1.0,0.9999942779541016,0.9999843835830688
17.445125579833984,16.95897102355957,16.67892837524414,16.567174911499023,1.0,0.9999949932098389,0.9999516010284424
18.103334426879883,16.3393497467041,15.589308738708496,15.198321342468262,1.0,0.9996215105056763,0.9999523162841797
22.853099822998047,21.951871871948242,21.06978416442871,20.735004425048828,0.0,2.4293984097312205e-05,4.568097210722044e-05
20.653465270996094,19.917640686035156,19.382658004760742,19.16216468811035,0.0,0.0027386657893657684,3.608090992202051e-05
20.855358123779297,19.257482528686523,18.737565994262695,18.437110900878906,0.0,0.0008254954591393471,3.887683487846516e-05
19.193748474121094,19.058975219726562,19.720205307006836,19.479713439941406,1.0,0.9999955892562866,0.8963720202445984
17.92631721496582,17.70937156677246,17.563217163085938,17.387691497802734,0.0,0.9999948740005493,0.9999841451644897
19.31049346923828,18.98340606689453,18.726709365844727,18.639266967773438,0.0,0.9995749592781067,0.9999696016311646
19.93692970275879,19.196205139160156,19.009889602661133,18.638286590576172,1.0,0.9999693632125854,0.9870666861534119
19.585494995117188,18.98154067993164,18.8193416595459,18.461444854736328,1.0,0.9999674558639526,0.9999555349349976
20.08077621459961,18.750362396240234,18.252525329589844,17.957496643066406,1.0,0.9908459782600403,0.9998540878295898
21.32758903503418,20.46556854248047,19.87500762939453,19.53636360168457,1.0,0.9993960857391357,0.9983869791030884
20.507585525512695,19.475391387939453,19.002208709716797,18.877267837524414,1.0,0.9999867677688599,0.9999884366989136
19.95055389404297,19.76970672607422,19.627979278564453,19.597261428833008,0.0,0.9999921321868896,0.9999867677688599
17.901287078857422,17.313003540039062,16.86031723022461,16.662466049194336,1.0,0.9999969005584717,0.999982476234436
19.5064697265625,18.843273162841797,18.450708389282227,18.317346572875977,1.0,0.9999929666519165,0.9999827146530151
16.534345626831055,15.52202033996582,15.16177749633789,15.263014793395996,1.0,0.9999914169311523,0.999982476234436
